year,channel,sales,region
2003,readyMix,5442000000.0,GB
2004,readyMix,5613000000.0,GB
2005,readyMix,5610000000.0,GB
2006,readyMix,5949000000.0,GB
2007,readyMix,6404000000.0,GB
2008,readyMix,5402000000.0,GB
2009,readyMix,3991000000.0,GB
2010,readyMix,4189000000.0,GB
2011,readyMix,4535000000.0,GB
2012,readyMix,4250000000.0,GB
2013,readyMix,4680000000.0,GB
2014,readyMix,4717000000.0,GB
2015,readyMix,5273000000.0,UK
2003,merchant,2423000000.0,GB
2004,merchant,2399000000.0,GB
2005,merchant,2204000000.0,GB
2006,merchant,2158000000.0,GB
2007,merchant,2198000000.0,GB
2008,merchant,1992000000.0,GB
2009,merchant,1580000000.0,GB
2010,merchant,1572000000.0,GB
2011,merchant,1614000000.0,GB
2012,merchant,1496000000.0,GB
2013,merchant,1519000000.0,GB
2014,merchant,1611000000.0,GB
2015,merchant,1701000000.0,UK
2003,precast,3213000000.0,GB
2004,precast,3118000000.0,GB
2005,precast,2918000000.0,GB
2006,precast,2764000000.0,GB
2007,precast,2837000000.0,GB
2008,precast,2206000000.0,GB
2009,precast,1594000000.0,GB
2010,precast,1777000000.0,GB
2011,precast,1936000000.0,GB
2012,precast,1782000000.0,GB
2013,precast,1761000000.0,GB
2014,precast,2182000000.0,GB
2015,precast,2360000000.0,UK
2003,other,578000000.0,GB
2004,other,546000000.0,GB
2005,other,574000000.0,GB
2006,other,453000000.0,GB
2007,other,459000000.0,GB
2008,other,541000000.0,GB
2009,other,447000000.0,GB
2010,other,287000000.0,GB
2011,other,313000000.0,GB
2012,other,260000000.0,GB
2013,other,360000000.0,GB
2014,other,468000000.0,GB
2015,other,829000000.0,UK
